id,clave,name
cfd_mx.cfd_mx_prodserv_01010101,01010101,No existe en el catálogo
cfd_mx.cfd_mx_prodserv_10101500,10101500,Animales vivos de granja
cfd_mx.cfd_mx_prodserv_10101501,10101501,Gatos vivos
cfd_mx.cfd_mx_prodserv_10101502,10101502,Perros
cfd_mx.cfd_mx_prodserv_10101504,10101504,Visón
cfd_mx.cfd_mx_prodserv_10101505,10101505,Ratas
cfd_mx.cfd_mx_prodserv_10101506,10101506,Caballos
cfd_mx.cfd_mx_prodserv_10101507,10101507,Ovejas
cfd_mx.cfd_mx_prodserv_10101508,10101508,Cabras
cfd_mx.cfd_mx_prodserv_10101509,10101509,Asnos
cfd_mx.cfd_mx_prodserv_10101510,10101510,Ratones
cfd_mx.cfd_mx_prodserv_10101511,10101511,Cerdos
cfd_mx.cfd_mx_prodserv_10101512,10101512,Conejos
cfd_mx.cfd_mx_prodserv_10101513,10101513,Cobayas o conejillos de indias
cfd_mx.cfd_mx_prodserv_10101514,10101514,Primates
cfd_mx.cfd_mx_prodserv_10101515,10101515,Armadillos
cfd_mx.cfd_mx_prodserv_10101516,10101516,Ganado vacuno
cfd_mx.cfd_mx_prodserv_10101517,10101517,Camellos
cfd_mx.cfd_mx_prodserv_10101600,10101600,Pájaros y aves de corral vivos
cfd_mx.cfd_mx_prodserv_10101601,10101601,Pollos vivos
cfd_mx.cfd_mx_prodserv_10101602,10101602,Patos vivos
cfd_mx.cfd_mx_prodserv_10101603,10101603,Pavos vivos
cfd_mx.cfd_mx_prodserv_10101604,10101604,Gansos vivos
cfd_mx.cfd_mx_prodserv_10101605,10101605,Faisanes vivos
cfd_mx.cfd_mx_prodserv_10101700,10101700,Peces vivos
cfd_mx.cfd_mx_prodserv_10101701,10101701,Salmones vivos
cfd_mx.cfd_mx_prodserv_10101702,10101702,Trucha viva
cfd_mx.cfd_mx_prodserv_10101703,10101703,Tilapia viva
cfd_mx.cfd_mx_prodserv_10101704,10101704,Carpa viva
cfd_mx.cfd_mx_prodserv_10101705,10101705,Anguilas vivas
cfd_mx.cfd_mx_prodserv_10101800,10101800,Mariscos e invertebrados acuáticos vivos
cfd_mx.cfd_mx_prodserv_10101801,10101801,Camarón vivo
cfd_mx.cfd_mx_prodserv_10101802,10101802,Almejas vivas
cfd_mx.cfd_mx_prodserv_10101803,10101803,Mejillones vivos
cfd_mx.cfd_mx_prodserv_10101804,10101804,Ostras vivas
cfd_mx.cfd_mx_prodserv_10101805,10101805,Cangrejos vivos
cfd_mx.cfd_mx_prodserv_10101806,10101806,Abulones vivos
cfd_mx.cfd_mx_prodserv_10101807,10101807,Pulpo vivo
cfd_mx.cfd_mx_prodserv_10101808,10101808,Calamar vivo
cfd_mx.cfd_mx_prodserv_10101809,10101809,Sanguijuelas
cfd_mx.cfd_mx_prodserv_10101900,10101900,Insectos vivos
cfd_mx.cfd_mx_prodserv_10101901,10101901,Mariposas
cfd_mx.cfd_mx_prodserv_10101902,10101902,Escarabajos
cfd_mx.cfd_mx_prodserv_10101903,10101903,Abejas
cfd_mx.cfd_mx_prodserv_10101904,10101904,Gusanos de seda
cfd_mx.cfd_mx_prodserv_10102000,10102000,Animales salvajes vivos
cfd_mx.cfd_mx_prodserv_10102001,10102001,Elefantes
cfd_mx.cfd_mx_prodserv_10102002,10102002,Zorros vivos
cfd_mx.cfd_mx_prodserv_10102100,10102100,Huevos de aves para incubar
cfd_mx.cfd_mx_prodserv_10111300,10111300,"Accesorios, equipo y tratamientos para los animales domésticos"
cfd_mx.cfd_mx_prodserv_10111301,10111301,Juguetes para mascotas
cfd_mx.cfd_mx_prodserv_10111302,10111302,Productos para el aseo y cuidado de mascotas
