id,clave,name,descripcion
cfd_mx.unidadesmedida_C81,C81,radian,
cfd_mx.unidadesmedida_C25,C25,milliradian,
cfd_mx.unidadesmedida_B97,B97,microradian,
cfd_mx.unidadesmedida_DD,DD,degree [unit of angle],
cfd_mx.unidadesmedida_D61,D61,minute [unit of angle],
cfd_mx.unidadesmedida_D62,D62,second [unit of angle],
cfd_mx.unidadesmedida_A91,A91,gon,Synonym: grade
cfd_mx.unidadesmedida_M43,M43,mil,"Unit to indicate an angle at military zone, equal to the 6400th part of the full circle of the 360° or 2·p·rad."
cfd_mx.unidadesmedida_M44,M44,revolution,Unit to identify an angle of the full circle of 360° or 2·p·rad (Refer ISO/TC12 SI Guide).
cfd_mx.unidadesmedida_D27,D27,steradian,
cfd_mx.unidadesmedida_H57,H57,inch per two pi radiant,
cfd_mx.unidadesmedida_MTR,MTR,metre,
cfd_mx.unidadesmedida_E96,E96,degree per second,
cfd_mx.unidadesmedida_H27,H27,degree per metre,
cfd_mx.unidadesmedida_M55,M55,metre per radiant,Unit of the translation factor for implementation from rotation to linear movement.
cfd_mx.unidadesmedida_DMT,DMT,decimetre,
cfd_mx.unidadesmedida_CMT,CMT,centimetre,
cfd_mx.unidadesmedida_4H,4H,micrometre (micron),
cfd_mx.unidadesmedida_MMT,MMT,millimetre,
cfd_mx.unidadesmedida_HMT,HMT,hectometre,
cfd_mx.unidadesmedida_KMT,KMT,kilometre,
cfd_mx.unidadesmedida_C45,C45,nanometre,
cfd_mx.unidadesmedida_C52,C52,picometre,
cfd_mx.unidadesmedida_A71,A71,femtometre,
cfd_mx.unidadesmedida_A45,A45,decametre,
cfd_mx.unidadesmedida_NMI,NMI,nautical mile,
cfd_mx.unidadesmedida_A11,A11,angstrom,
cfd_mx.unidadesmedida_A12,A12,astronomical unit,
cfd_mx.unidadesmedida_C63,C63,parsec,
cfd_mx.unidadesmedida_F52,F52,metre per kelvin,
cfd_mx.unidadesmedida_F50,F50,micrometre per kelvin,
cfd_mx.unidadesmedida_F51,F51,centimetre per kelvin,
cfd_mx.unidadesmedida_G06,G06,millimetre per bar,
cfd_mx.unidadesmedida_H84,H84,gram millimetre,
cfd_mx.unidadesmedida_G04,G04,centimetre per bar,
cfd_mx.unidadesmedida_G05,G05,metre per bar,
cfd_mx.unidadesmedida_H79,H79,French gauge,"A unit of distance used for measuring the diameter of small tubes such as urological instruments and catheters.
Synonym: French, Charrière, Charrière gauge"
cfd_mx.unidadesmedida_AK,AK,fathom,
cfd_mx.unidadesmedida_X1,X1,Gunter's chain,A unit of distance used or formerly used by British surveyors.
cfd_mx.unidadesmedida_INH,INH,inch,
cfd_mx.unidadesmedida_M7,M7,micro-inch,
cfd_mx.unidadesmedida_FOT,FOT,foot,
cfd_mx.unidadesmedida_YRD,YRD,yard,
cfd_mx.unidadesmedida_SMI,SMI,mile (statute mile),
cfd_mx.unidadesmedida_77,77,milli-inch,
cfd_mx.unidadesmedida_B57,B57,light year,A unit of length defining the distance that light travels in a vacuum in one year.
cfd_mx.unidadesmedida_F49,F49,rod [unit of distance],A unit of distance equal to 5.5 yards (16 feet 6 inches).
cfd_mx.unidadesmedida_MAM,MAM,megametre,
cfd_mx.unidadesmedida_K13,K13,foot per degree Fahrenheit,
cfd_mx.unidadesmedida_K17,K17,foot per psi,
cfd_mx.unidadesmedida_K45,K45,inch per degree Fahrenheit,
cfd_mx.unidadesmedida_K46,K46,inch per psi,
cfd_mx.unidadesmedida_L98,L98,yard per degree Fahrenheit,
cfd_mx.unidadesmedida_L99,L99,yard per psi,
cfd_mx.unidadesmedida_M49,M49,chain (based on U.S. survey foot),Unit of the length according the Anglo-American system of units.
cfd_mx.unidadesmedida_M50,M50,furlong,Unit commonly used in Great Britain at rural distances: 1 furlong = 40 rods = 10 chains (UK) = 1/8 mile = 1/10 furlong = 220 yards = 660 foot.
cfd_mx.unidadesmedida_M51,M51,foot (U.S. survey) ,Unit commonly used in the United States for ordnance survey.

cfd_mx.unidadesmedida_M52,M52,mile (based on U.S. survey foot) ,Unit commonly used in the United States for ordnance survey.
cfd_mx.unidadesmedida_M53,M53,metre per pascal,SI base unit metre divided by the derived SI unit pascal.
cfd_mx.unidadesmedida_MTK,MTK,square metre,
cfd_mx.unidadesmedida_KMK,KMK,square kilometre,
cfd_mx.unidadesmedida_H30,H30,square micrometre (square micron),
cfd_mx.unidadesmedida_H59,H59,square metre per newton,
cfd_mx.unidadesmedida_DAA,DAA,decare,
cfd_mx.unidadesmedida_CMK,CMK,square centimetre,
cfd_mx.unidadesmedida_DMK,DMK,square decimetre,
cfd_mx.unidadesmedida_H16,H16,square decametre,Synonym: are
cfd_mx.unidadesmedida_H18,H18,square hectometre,Synonym: hectare
cfd_mx.unidadesmedida_MMK,MMK,square millimetre,
cfd_mx.unidadesmedida_INK,INK,square inch,
cfd_mx.unidadesmedida_FTK,FTK,square foot,
cfd_mx.unidadesmedida_YDK,YDK,square yard,
cfd_mx.unidadesmedida_MIK,MIK,square mile (statute mile),
cfd_mx.unidadesmedida_M48,M48,square mile (based on U.S. survey foot) ,"Unit of the area, which is mainly common in the agriculture and forestry."
cfd_mx.unidadesmedida_ACR,ACR,acre,
cfd_mx.unidadesmedida_M47,M47,circular mil ,"Unit of an area, of which the size is given by a diameter of length of 1 mm (0,001 in) based on the formula: area = p·(diameter/2)²."
cfd_mx.unidadesmedida_MTQ,MTQ,cubic metre,Synonym: metre cubed
cfd_mx.unidadesmedida_MAL,MAL,megalitre,
cfd_mx.unidadesmedida_LTR,LTR,litre,
cfd_mx.unidadesmedida_MMQ,MMQ,cubic millimetre,
cfd_mx.unidadesmedida_CMQ,CMQ,cubic centimetre,
cfd_mx.unidadesmedida_DMQ,DMQ,cubic decimetre,
cfd_mx.unidadesmedida_MLT,MLT,millilitre,
cfd_mx.unidadesmedida_HLT,HLT,hectolitre,
cfd_mx.unidadesmedida_CLT,CLT,centilitre,
cfd_mx.unidadesmedida_DMA,DMA,cubic decametre,
cfd_mx.unidadesmedida_H19,H19,cubic hectometre,
cfd_mx.unidadesmedida_H20,H20,cubic kilometre,
cfd_mx.unidadesmedida_M71,M71,cubic metre per pascal,Power of the SI base unit meter by exponent 3 divided by the derived SI base unit pascal.
cfd_mx.unidadesmedida_DLT,DLT,decilitre,
cfd_mx.unidadesmedida_4G,4G,microlitre,
cfd_mx.unidadesmedida_K6,K6,kilolitre,
cfd_mx.unidadesmedida_A44,A44,decalitre,
cfd_mx.unidadesmedida_G94,G94,cubic centimetre per bar,
cfd_mx.unidadesmedida_G95,G95,litre per bar,
cfd_mx.unidadesmedida_G96,G96,cubic metre per bar,
cfd_mx.unidadesmedida_G97,G97,millilitre per bar,
cfd_mx.unidadesmedida_INQ,INQ,cubic inch,Synonym: inch cubed
cfd_mx.unidadesmedida_FTQ,FTQ,cubic foot,
cfd_mx.unidadesmedida_YDQ,YDQ,cubic yard,
cfd_mx.unidadesmedida_GLI,GLI,gallon (UK),
cfd_mx.unidadesmedida_GLL,GLL,gallon (US),
cfd_mx.unidadesmedida_PTI,PTI,pint (UK),
cfd_mx.unidadesmedida_QTI,QTI,quart (UK),
cfd_mx.unidadesmedida_PTL,PTL,liquid pint (US),
cfd_mx.unidadesmedida_QTL,QTL,liquid quart (US),
cfd_mx.unidadesmedida_PTD,PTD,dry pint (US),
cfd_mx.unidadesmedida_OZI,OZI,fluid ounce (UK),
cfd_mx.unidadesmedida_J57,J57,barrel (UK petroleum),
cfd_mx.unidadesmedida_K21,K21,cubic foot per degree Fahrenheit,
cfd_mx.unidadesmedida_K23,K23,cubic foot per psi,
cfd_mx.unidadesmedida_L43,L43,peck (UK),
cfd_mx.unidadesmedida_L84,L84,ton (UK shipping),
cfd_mx.unidadesmedida_L86,L86,ton (US shipping),
