id,clave_sat,state_id/id,name
cfd_mx.res_country_state_ciudad_01AGU,01,AGU,Aguascalientes
cfd_mx.res_country_state_ciudad_01BCN,01,BCN,Ensenada
cfd_mx.res_country_state_ciudad_01BCS,01,BCS,Ciudad Constitución
cfd_mx.res_country_state_ciudad_01CAM,01,CAM,San Francisco de Campeche
cfd_mx.res_country_state_ciudad_01COA,01,COA,Ciudad Acuña
cfd_mx.res_country_state_ciudad_01COL,01,COL,Colima
cfd_mx.res_country_state_ciudad_01CHH,01,CHH,Santa Rosalía de Camargo
cfd_mx.res_country_state_ciudad_01CHP,01,CHP,Comitán de Domínguez
cfd_mx.res_country_state_ciudad_01DIF,01,DIF,Ciudad de México
cfd_mx.res_country_state_ciudad_01DUR,01,DUR,Victoria de Durango
cfd_mx.res_country_state_ciudad_01GRO,01,GRO,Acapulco de Juárez
cfd_mx.res_country_state_ciudad_01GUA,01,GUA,Acámbaro
cfd_mx.res_country_state_ciudad_01HID,01,HID,Actopan
cfd_mx.res_country_state_ciudad_01JAL,01,JAL,Ameca
cfd_mx.res_country_state_ciudad_01MEX,01,MEX,Ciudad Adolfo López Mateos
cfd_mx.res_country_state_ciudad_01MIC,01,MIC,Apatzingán de la Constitución
cfd_mx.res_country_state_ciudad_01MOR,01,MOR,Cuautla (Cuautla de Morelos)
cfd_mx.res_country_state_ciudad_01NAY,01,NAY,Santiago Ixcuintla
cfd_mx.res_country_state_ciudad_01NLE,01,NLE,Ciudad Apodaca
cfd_mx.res_country_state_ciudad_01OAX,01,OAX,Juchitán (Juchitán de Zaragoza)
cfd_mx.res_country_state_ciudad_01PUE,01,PUE,Atlixco
cfd_mx.res_country_state_ciudad_01QUE,01,QUE,Querétaro
cfd_mx.res_country_state_ciudad_01ROO,01,ROO,Cancún
cfd_mx.res_country_state_ciudad_01SIN,01,SIN,Los Mochis
cfd_mx.res_country_state_ciudad_01SLP,01,SLP,Ciudad Valles
cfd_mx.res_country_state_ciudad_01SON,01,SON,San Luis Río Colorado
cfd_mx.res_country_state_ciudad_01TAB,01,TAB,Cárdenas
cfd_mx.res_country_state_ciudad_01TAM,01,TAM,Altamira
cfd_mx.res_country_state_ciudad_01TLA,01,TLA,Apizaco
cfd_mx.res_country_state_ciudad_01VER,01,VER,Acayucan
cfd_mx.res_country_state_ciudad_01YUC,01,YUC,Mérida
cfd_mx.res_country_state_ciudad_01ZAC,01,ZAC,Fresnillo
cfd_mx.res_country_state_ciudad_02AGU,02,AGU,Calvillo
cfd_mx.res_country_state_ciudad_02BCN,02,BCN,Mexicali
cfd_mx.res_country_state_ciudad_02BCS,02,BCS,La Paz
cfd_mx.res_country_state_ciudad_02CAM,02,CAM,Ciudad del Carmen
cfd_mx.res_country_state_ciudad_02COA,02,COA,Frontera
cfd_mx.res_country_state_ciudad_02COL,02,COL,Manzanillo
cfd_mx.res_country_state_ciudad_02CHH,02,CHH,Chihuahua
cfd_mx.res_country_state_ciudad_02CHP,02,CHP,San Cristóbal de las Casas
cfd_mx.res_country_state_ciudad_02DIF,02,DIF,Ciudad de México
cfd_mx.res_country_state_ciudad_02DUR,02,DUR,Gómez Palacio
cfd_mx.res_country_state_ciudad_02GRO,02,GRO,Chilpancingo de los Bravo
cfd_mx.res_country_state_ciudad_02GUA,02,GUA,San miguel de Allende
cfd_mx.res_country_state_ciudad_02HID,02,HID,Apan
cfd_mx.res_country_state_ciudad_02JAL,02,JAL,Ciudad Guzmán
cfd_mx.res_country_state_ciudad_02MEX,02,MEX,Chimalhuacán
cfd_mx.res_country_state_ciudad_02MIC,02,MIC,Los Reyes de Salgado
cfd_mx.res_country_state_ciudad_02MOR,02,MOR,Cuernavaca
cfd_mx.res_country_state_ciudad_02NAY,02,NAY,Tepic
cfd_mx.res_country_state_ciudad_02NLE,02,NLE,San Pedro Garza García
cfd_mx.res_country_state_ciudad_02OAX,02,OAX,Oaxaca de Juárez
cfd_mx.res_country_state_ciudad_02PUE,02,PUE,Izúcar de Matamoros
cfd_mx.res_country_state_ciudad_02QUE,02,QUE,San Juan del Rio
cfd_mx.res_country_state_ciudad_02ROO,02,ROO,Cozumel
cfd_mx.res_country_state_ciudad_02SIN,02,SIN,Culiacán Rosales
cfd_mx.res_country_state_ciudad_02SLP,02,SLP,Ébano
cfd_mx.res_country_state_ciudad_02SON,02,SON,Agua Prieta
cfd_mx.res_country_state_ciudad_02TAB,02,TAB,Villahermosa
cfd_mx.res_country_state_ciudad_02TAM,02,TAM,Ciudad Camargo
cfd_mx.res_country_state_ciudad_02TLA,02,TLA,Villa Vicente Guerrero
cfd_mx.res_country_state_ciudad_02VER,02,VER,Naranjos
cfd_mx.res_country_state_ciudad_02YUC,02,YUC,Tizimín
cfd_mx.res_country_state_ciudad_02ZAC,02,ZAC,Jerez de García Salinas
cfd_mx.res_country_state_ciudad_03AGU,03,AGU,San Francisco de los Romo
cfd_mx.res_country_state_ciudad_03BCN,03,BCN,Tecate
cfd_mx.res_country_state_ciudad_03BCS,03,BCS,Cabo San Lucas
cfd_mx.res_country_state_ciudad_03CAM,03,CAM,Calkini
cfd_mx.res_country_state_ciudad_03COA,03,COA,Matamoros
cfd_mx.res_country_state_ciudad_03COL,03,COL,Tecoman
cfd_mx.res_country_state_ciudad_03CHH,03,CHH,Cuauhtémoc
cfd_mx.res_country_state_ciudad_03CHP,03,CHP,Tapachula de Córdova y Ordóñez
cfd_mx.res_country_state_ciudad_03DIF,03,DIF,Ciudad de México
cfd_mx.res_country_state_ciudad_03DUR,03,DUR,Ciudad Lerdo
cfd_mx.res_country_state_ciudad_03GRO,03,GRO,Iguala de la Independencia
cfd_mx.res_country_state_ciudad_03GUA,03,GUA,Celaya
cfd_mx.res_country_state_ciudad_03HID,03,HID,Pachuca de Soto
cfd_mx.res_country_state_ciudad_03JAL,03,JAL,Guadalajara
cfd_mx.res_country_state_ciudad_03MEX,03,MEX,Coacalco de Berriozabal
cfd_mx.res_country_state_ciudad_03MIC,03,MIC,Ciudad Hidalgo
cfd_mx.res_country_state_ciudad_03MOR,03,MOR,Galeana
cfd_mx.res_country_state_ciudad_03NAY,03,NAY,Tuxpan
cfd_mx.res_country_state_ciudad_03NLE,03,NLE,Ciudad General Escobedo
cfd_mx.res_country_state_ciudad_03OAX,03,OAX,Salina Cruz
cfd_mx.res_country_state_ciudad_03PUE,03,PUE,Puebla (Heroica Puebla)
cfd_mx.res_country_state_ciudad_03ROO,03,ROO,Felipe Carrillo Puerto
cfd_mx.res_country_state_ciudad_03SIN,03,SIN,Escuinapa de Hidalgo
cfd_mx.res_country_state_ciudad_03SLP,03,SLP,Matehuala
cfd_mx.res_country_state_ciudad_03SON,03,SON,Heroica Caborca
cfd_mx.res_country_state_ciudad_03TAB,03,TAB,Comalcalco
cfd_mx.res_country_state_ciudad_03TAM,03,TAM,Ciudad Madero
cfd_mx.res_country_state_ciudad_03TLA,03,TLA,Tlaxcala (Tlaxcala de Xicotencatl)
cfd_mx.res_country_state_ciudad_03VER,03,VER,Boca del RÍo
cfd_mx.res_country_state_ciudad_03YUC,03,YUC,Ticul
cfd_mx.res_country_state_ciudad_03ZAC,03,ZAC,Zacatecas
cfd_mx.res_country_state_ciudad_04AGU,04,AGU,Jesús María
cfd_mx.res_country_state_ciudad_04BCN,04,BCN,Tijuana
cfd_mx.res_country_state_ciudad_04BCS,04,BCS,San José del Cabo
cfd_mx.res_country_state_ciudad_04CAM,04,CAM,Candelaria
cfd_mx.res_country_state_ciudad_04COA,04,COA,Monclova
cfd_mx.res_country_state_ciudad_04COL,04,COL,Ciudad de Villa de Álvarez
cfd_mx.res_country_state_ciudad_04CHH,04,CHH,Delicias
cfd_mx.res_country_state_ciudad_04CHP,04,CHP,Tuxtla Gutiérrez
cfd_mx.res_country_state_ciudad_04DIF,04,DIF,Ciudad de México
cfd_mx.res_country_state_ciudad_04DUR,04,DUR,Santiago Papasquiaro
cfd_mx.res_country_state_ciudad_04GRO,04,GRO,Taxco de Alarcón
cfd_mx.res_country_state_ciudad_04GUA,04,GUA,Cortazar
cfd_mx.res_country_state_ciudad_04HID,04,HID,Cd. de Fray Bernardino de Sahagún
cfd_mx.res_country_state_ciudad_04JAL,04,JAL,Lagos de Moreno
cfd_mx.res_country_state_ciudad_04MEX,04,MEX,Cuautitlán Izcalli
cfd_mx.res_country_state_ciudad_04MIC,04,MIC,Jacona de Plancarte
cfd_mx.res_country_state_ciudad_04MOR,04,MOR,Jojutla
cfd_mx.res_country_state_ciudad_04NAY,04,NAY,Acaponeta
cfd_mx.res_country_state_ciudad_04NLE,04,NLE,Guadalupe
cfd_mx.res_country_state_ciudad_04OAX,04,OAX,San Juan Bautista Tuxtepec
cfd_mx.res_country_state_ciudad_04PUE,04,PUE,San Martín Texmelucan de Labastida
cfd_mx.res_country_state_ciudad_04QUE,04,QUE,El Pueblito
cfd_mx.res_country_state_ciudad_04ROO,04,ROO,Chetumal
cfd_mx.res_country_state_ciudad_04SIN,04,SIN,Guasave
cfd_mx.res_country_state_ciudad_04SLP,04,SLP,Rioverde
cfd_mx.res_country_state_ciudad_04SON,04,SON,Ciudad Obregón
cfd_mx.res_country_state_ciudad_04TAB,04,TAB,Emiliano Zapata
cfd_mx.res_country_state_ciudad_04TAM,04,TAM,Ciudad Mante
cfd_mx.res_country_state_ciudad_04TLA,04,TLA,Huamantla
cfd_mx.res_country_state_ciudad_04VER,04,VER,Coatepec
cfd_mx.res_country_state_ciudad_04YUC,04,YUC,Motul de Carrillo Puerto
cfd_mx.res_country_state_ciudad_04ZAC,04,ZAC,Guadalupe
cfd_mx.res_country_state_ciudad_05AGU,05,AGU,Pabellón de Arteaga
cfd_mx.res_country_state_ciudad_05BCN,05,BCN,Playas de Rosarito
cfd_mx.res_country_state_ciudad_05BCS,05,BCS,Loreto
cfd_mx.res_country_state_ciudad_05CAM,05,CAM,Escárcega
cfd_mx.res_country_state_ciudad_05COA,05,COA,Parras de la Fuente
cfd_mx.res_country_state_ciudad_05COL,05,COL,Ciudad de Armería
cfd_mx.res_country_state_ciudad_05CHH,05,CHH,Hidalgo del Parral
cfd_mx.res_country_state_ciudad_05CHP,05,CHP,Venustiano Carranza
cfd_mx.res_country_state_ciudad_05DIF,05,DIF,Ciudad de México
cfd_mx.res_country_state_ciudad_05DUR,05,DUR,Canatlán
cfd_mx.res_country_state_ciudad_05GRO,05,GRO,Arcelia
cfd_mx.res_country_state_ciudad_05GUA,05,GUA,Guanajuato
cfd_mx.res_country_state_ciudad_05HID,05,HID,Tula de Allende
cfd_mx.res_country_state_ciudad_05JAL,05,JAL,Ocotlán
cfd_mx.res_country_state_ciudad_05MEX,05,MEX,Ecatepec de Morelos
cfd_mx.res_country_state_ciudad_05MIC,05,MIC,La piedad de Cabadas
cfd_mx.res_country_state_ciudad_05MOR,05,MOR,Puente de Ixtla
cfd_mx.res_country_state_ciudad_05NAY,05,NAY,Tecuala
cfd_mx.res_country_state_ciudad_05NLE,05,NLE,Linares
