id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_2000000101,20000,AGU,001,01
cfd_mx.res_country_state_cp_20001,20001,AGU,,
cfd_mx.res_country_state_cp_20002,20002,AGU,,
cfd_mx.res_country_state_cp_20003,20003,AGU,,
cfd_mx.res_country_state_cp_20004,20004,AGU,,
cfd_mx.res_country_state_cp_20005,20005,AGU,,
cfd_mx.res_country_state_cp_20006,20006,AGU,,
cfd_mx.res_country_state_cp_20007,20007,AGU,,
cfd_mx.res_country_state_cp_20008,20008,AGU,,
cfd_mx.res_country_state_cp_20009,20009,AGU,,
cfd_mx.res_country_state_cp_2001000101,20010,AGU,001,01
cfd_mx.res_country_state_cp_20011,20011,AGU,,
cfd_mx.res_country_state_cp_20012,20012,AGU,,
cfd_mx.res_country_state_cp_20013,20013,AGU,,
cfd_mx.res_country_state_cp_20014,20014,AGU,,
cfd_mx.res_country_state_cp_20015,20015,AGU,,
cfd_mx.res_country_state_cp_2001600101,20016,AGU,001,01
cfd_mx.res_country_state_cp_20017,20017,AGU,,
cfd_mx.res_country_state_cp_2001800101,20018,AGU,001,01
cfd_mx.res_country_state_cp_20019,20019,AGU,,
cfd_mx.res_country_state_cp_2002000101,20020,AGU,001,01
cfd_mx.res_country_state_cp_20021,20021,AGU,,
cfd_mx.res_country_state_cp_20022,20022,AGU,,
cfd_mx.res_country_state_cp_20023,20023,AGU,,
cfd_mx.res_country_state_cp_20024,20024,AGU,,
cfd_mx.res_country_state_cp_20025,20025,AGU,,
cfd_mx.res_country_state_cp_20026,20026,AGU,,
cfd_mx.res_country_state_cp_20027,20027,AGU,,
cfd_mx.res_country_state_cp_20028,20028,AGU,,
cfd_mx.res_country_state_cp_2002900101,20029,AGU,001,01
cfd_mx.res_country_state_cp_2003000101,20030,AGU,001,01
cfd_mx.res_country_state_cp_20031,20031,AGU,,
cfd_mx.res_country_state_cp_20032,20032,AGU,,
cfd_mx.res_country_state_cp_20033,20033,AGU,,
cfd_mx.res_country_state_cp_20034,20034,AGU,,
cfd_mx.res_country_state_cp_20035,20035,AGU,,
cfd_mx.res_country_state_cp_20036,20036,AGU,,
cfd_mx.res_country_state_cp_20037,20037,AGU,,
cfd_mx.res_country_state_cp_20038,20038,AGU,,
cfd_mx.res_country_state_cp_20039,20039,AGU,,
cfd_mx.res_country_state_cp_2004000101,20040,AGU,001,01
cfd_mx.res_country_state_cp_20041,20041,AGU,,
cfd_mx.res_country_state_cp_20042,20042,AGU,,
cfd_mx.res_country_state_cp_20043,20043,AGU,,
cfd_mx.res_country_state_cp_20044,20044,AGU,,
cfd_mx.res_country_state_cp_20045,20045,AGU,,
cfd_mx.res_country_state_cp_20046,20046,AGU,,
cfd_mx.res_country_state_cp_20047,20047,AGU,,
cfd_mx.res_country_state_cp_20048,20048,AGU,,
cfd_mx.res_country_state_cp_2004900101,20049,AGU,001,01
cfd_mx.res_country_state_cp_2005000101,20050,AGU,001,01
cfd_mx.res_country_state_cp_20051,20051,AGU,,
cfd_mx.res_country_state_cp_20052,20052,AGU,,
cfd_mx.res_country_state_cp_20053,20053,AGU,,
cfd_mx.res_country_state_cp_20054,20054,AGU,,
cfd_mx.res_country_state_cp_20055,20055,AGU,,
cfd_mx.res_country_state_cp_20056,20056,AGU,,
cfd_mx.res_country_state_cp_20057,20057,AGU,,
cfd_mx.res_country_state_cp_20058,20058,AGU,,
cfd_mx.res_country_state_cp_2005900101,20059,AGU,001,01
cfd_mx.res_country_state_cp_2006000101,20060,AGU,001,01
cfd_mx.res_country_state_cp_20061,20061,AGU,,
cfd_mx.res_country_state_cp_20062,20062,AGU,,
cfd_mx.res_country_state_cp_20063,20063,AGU,,
cfd_mx.res_country_state_cp_2006400101,20064,AGU,001,01
cfd_mx.res_country_state_cp_20065,20065,AGU,,
cfd_mx.res_country_state_cp_20066,20066,AGU,,
cfd_mx.res_country_state_cp_20067,20067,AGU,,
cfd_mx.res_country_state_cp_20068,20068,AGU,,
cfd_mx.res_country_state_cp_20069,20069,AGU,,
cfd_mx.res_country_state_cp_2007000101,20070,AGU,001,01
cfd_mx.res_country_state_cp_20071,20071,AGU,,
cfd_mx.res_country_state_cp_20072,20072,AGU,,
cfd_mx.res_country_state_cp_20073,20073,AGU,,
cfd_mx.res_country_state_cp_20074,20074,AGU,,
cfd_mx.res_country_state_cp_20075,20075,AGU,,
cfd_mx.res_country_state_cp_20076,20076,AGU,,
cfd_mx.res_country_state_cp_20077,20077,AGU,,
cfd_mx.res_country_state_cp_2007800101,20078,AGU,001,01
cfd_mx.res_country_state_cp_20079,20079,AGU,,
cfd_mx.res_country_state_cp_2008000101,20080,AGU,001,01
cfd_mx.res_country_state_cp_20081,20081,AGU,,
cfd_mx.res_country_state_cp_20082,20082,AGU,,
cfd_mx.res_country_state_cp_20083,20083,AGU,,
cfd_mx.res_country_state_cp_20084,20084,AGU,,
cfd_mx.res_country_state_cp_20085,20085,AGU,,
cfd_mx.res_country_state_cp_20086,20086,AGU,,
cfd_mx.res_country_state_cp_20087,20087,AGU,,
cfd_mx.res_country_state_cp_20088,20088,AGU,,
cfd_mx.res_country_state_cp_2008900101,20089,AGU,001,01
cfd_mx.res_country_state_cp_20090,20090,AGU,,
cfd_mx.res_country_state_cp_20091,20091,AGU,,
cfd_mx.res_country_state_cp_20092,20092,AGU,,
cfd_mx.res_country_state_cp_20093,20093,AGU,,
cfd_mx.res_country_state_cp_20094,20094,AGU,,
cfd_mx.res_country_state_cp_20095,20095,AGU,,
cfd_mx.res_country_state_cp_20096,20096,AGU,,
cfd_mx.res_country_state_cp_20097,20097,AGU,,
cfd_mx.res_country_state_cp_20098,20098,AGU,,
cfd_mx.res_country_state_cp_20099,20099,AGU,,
cfd_mx.res_country_state_cp_2010000101,20100,AGU,001,01
