id,clave_sat,state_id/id,name
cfd_mx.res_country_state_municipio_001AGU,001,AGU,Aguascalientes
cfd_mx.res_country_state_municipio_001BCN,001,BCN,Ensenada
cfd_mx.res_country_state_municipio_001BCS,001,BCS,Comondú
cfd_mx.res_country_state_municipio_001CAM,001,CAM,Calkiní
cfd_mx.res_country_state_municipio_001COA,001,COA,Abasolo
cfd_mx.res_country_state_municipio_001COL,001,COL,Armería
cfd_mx.res_country_state_municipio_001CHH,001,CHH,Ahumada
cfd_mx.res_country_state_municipio_001CHP,001,CHP,Acacoyagua
cfd_mx.res_country_state_municipio_001DUR,001,DUR,Canatlán
cfd_mx.res_country_state_municipio_001GRO,001,GRO,Acapulco de Juárez
cfd_mx.res_country_state_municipio_001GUA,001,GUA,Abasolo
cfd_mx.res_country_state_municipio_001HID,001,HID,Acatlán
cfd_mx.res_country_state_municipio_001JAL,001,JAL,Acatic
cfd_mx.res_country_state_municipio_001MEX,001,MEX,Acambay de Ruíz Castañeda
cfd_mx.res_country_state_municipio_001MIC,001,MIC,Acuitzio
cfd_mx.res_country_state_municipio_001MOR,001,MOR,Amacuzac
cfd_mx.res_country_state_municipio_001NAY,001,NAY,Acaponeta
cfd_mx.res_country_state_municipio_001NLE,001,NLE,Abasolo
cfd_mx.res_country_state_municipio_001OAX,001,OAX,Abejones
cfd_mx.res_country_state_municipio_001PUE,001,PUE,Acajete
cfd_mx.res_country_state_municipio_001QUE,001,QUE,Amealco de Bonfil
cfd_mx.res_country_state_municipio_001ROO,001,ROO,Cozumel
cfd_mx.res_country_state_municipio_001SIN,001,SIN,Ahome
cfd_mx.res_country_state_municipio_001SLP,001,SLP,Ahualulco
cfd_mx.res_country_state_municipio_001SON,001,SON,Aconchi
cfd_mx.res_country_state_municipio_001TAB,001,TAB,Balancán
cfd_mx.res_country_state_municipio_001TAM,001,TAM,Abasolo
cfd_mx.res_country_state_municipio_001TLA,001,TLA,Amaxac de Guerrero
cfd_mx.res_country_state_municipio_001VER,001,VER,Acajete
cfd_mx.res_country_state_municipio_001YUC,001,YUC,Abalá
cfd_mx.res_country_state_municipio_001ZAC,001,ZAC,Apozol
cfd_mx.res_country_state_municipio_002AGU,002,AGU,Asientos
cfd_mx.res_country_state_municipio_002BCN,002,BCN,Mexicali
cfd_mx.res_country_state_municipio_002BCS,002,BCS,Mulegé
cfd_mx.res_country_state_municipio_002CAM,002,CAM,Campeche
cfd_mx.res_country_state_municipio_002COA,002,COA,Acuña
cfd_mx.res_country_state_municipio_002COL,002,COL,Colima
cfd_mx.res_country_state_municipio_002CHH,002,CHH,Aldama
cfd_mx.res_country_state_municipio_002CHP,002,CHP,Acala
cfd_mx.res_country_state_municipio_002DIF,002,DIF,Azcapotzalco
