id,name,state_id/id,municipio_id/id,ciudad_id/id
cfd_mx.res_country_state_cp_51898,51898,MEX,,
cfd_mx.res_country_state_cp_51899,51899,MEX,,
cfd_mx.res_country_state_cp_51900040,51900,MEX,040,
cfd_mx.res_country_state_cp_51901,51901,MEX,,
cfd_mx.res_country_state_cp_51902,51902,MEX,,
cfd_mx.res_country_state_cp_51903,51903,MEX,,
cfd_mx.res_country_state_cp_51904040,51904,MEX,040,
cfd_mx.res_country_state_cp_51905040,51905,MEX,040,
cfd_mx.res_country_state_cp_51906040,51906,MEX,040,
cfd_mx.res_country_state_cp_51907040,51907,MEX,040,
cfd_mx.res_country_state_cp_51908,51908,MEX,,
cfd_mx.res_country_state_cp_51909,51909,MEX,,
cfd_mx.res_country_state_cp_51910040,51910,MEX,040,
cfd_mx.res_country_state_cp_51911,51911,MEX,,
cfd_mx.res_country_state_cp_51912,51912,MEX,,
cfd_mx.res_country_state_cp_51913,51913,MEX,,
cfd_mx.res_country_state_cp_51914,51914,MEX,,
cfd_mx.res_country_state_cp_51915040,51915,MEX,040,
cfd_mx.res_country_state_cp_51916040,51916,MEX,040,
cfd_mx.res_country_state_cp_51917040,51917,MEX,040,
cfd_mx.res_country_state_cp_51918,51918,MEX,,
cfd_mx.res_country_state_cp_51919,51919,MEX,,
cfd_mx.res_country_state_cp_51920040,51920,MEX,040,
cfd_mx.res_country_state_cp_51921,51921,MEX,,
cfd_mx.res_country_state_cp_51922,51922,MEX,,
cfd_mx.res_country_state_cp_51923040,51923,MEX,040,
cfd_mx.res_country_state_cp_51924040,51924,MEX,040,
cfd_mx.res_country_state_cp_51925,51925,MEX,,
cfd_mx.res_country_state_cp_51926,51926,MEX,,
cfd_mx.res_country_state_cp_51927,51927,MEX,,
cfd_mx.res_country_state_cp_51928,51928,MEX,,
cfd_mx.res_country_state_cp_51929,51929,MEX,,
cfd_mx.res_country_state_cp_51930040,51930,MEX,040,
cfd_mx.res_country_state_cp_51931,51931,MEX,,
cfd_mx.res_country_state_cp_51932,51932,MEX,,
cfd_mx.res_country_state_cp_51933040,51933,MEX,040,
cfd_mx.res_country_state_cp_51934,51934,MEX,,
cfd_mx.res_country_state_cp_51935,51935,MEX,,
cfd_mx.res_country_state_cp_51936040,51936,MEX,040,
cfd_mx.res_country_state_cp_51937040,51937,MEX,040,
cfd_mx.res_country_state_cp_51938,51938,MEX,,
cfd_mx.res_country_state_cp_51939,51939,MEX,,
cfd_mx.res_country_state_cp_51940,51940,MEX,,
cfd_mx.res_country_state_cp_51941,51941,MEX,,
cfd_mx.res_country_state_cp_51942,51942,MEX,,
cfd_mx.res_country_state_cp_51943,51943,MEX,,
cfd_mx.res_country_state_cp_51944,51944,MEX,,
cfd_mx.res_country_state_cp_51945,51945,MEX,,
cfd_mx.res_country_state_cp_51946,51946,MEX,,
cfd_mx.res_country_state_cp_51947,51947,MEX,,
cfd_mx.res_country_state_cp_51948,51948,MEX,,
cfd_mx.res_country_state_cp_51949,51949,MEX,,
cfd_mx.res_country_state_cp_51950107,51950,MEX,107,
cfd_mx.res_country_state_cp_51951,51951,MEX,,
cfd_mx.res_country_state_cp_51952,51952,MEX,,
cfd_mx.res_country_state_cp_51953107,51953,MEX,107,
cfd_mx.res_country_state_cp_51954107,51954,MEX,107,
cfd_mx.res_country_state_cp_51955107,51955,MEX,107,
cfd_mx.res_country_state_cp_51956107,51956,MEX,107,
cfd_mx.res_country_state_cp_51957,51957,MEX,,
cfd_mx.res_country_state_cp_51958,51958,MEX,,
cfd_mx.res_country_state_cp_51959107,51959,MEX,107,
cfd_mx.res_country_state_cp_51960107,51960,MEX,107,
cfd_mx.res_country_state_cp_51961,51961,MEX,,
cfd_mx.res_country_state_cp_51962,51962,MEX,,
cfd_mx.res_country_state_cp_51963107,51963,MEX,107,
cfd_mx.res_country_state_cp_51964107,51964,MEX,107,
cfd_mx.res_country_state_cp_51965,51965,MEX,,
cfd_mx.res_country_state_cp_51966,51966,MEX,,
cfd_mx.res_country_state_cp_51967,51967,MEX,,
cfd_mx.res_country_state_cp_51968,51968,MEX,,
cfd_mx.res_country_state_cp_51969,51969,MEX,,
cfd_mx.res_country_state_cp_51970107,51970,MEX,107,
cfd_mx.res_country_state_cp_51971,51971,MEX,,
cfd_mx.res_country_state_cp_51972,51972,MEX,,
cfd_mx.res_country_state_cp_51973107,51973,MEX,107,
cfd_mx.res_country_state_cp_51974107,51974,MEX,107,
cfd_mx.res_country_state_cp_51975107,51975,MEX,107,
cfd_mx.res_country_state_cp_51976107,51976,MEX,107,
cfd_mx.res_country_state_cp_51977107,51977,MEX,107,
cfd_mx.res_country_state_cp_51978,51978,MEX,,
cfd_mx.res_country_state_cp_51979,51979,MEX,,
cfd_mx.res_country_state_cp_51980119,51980,MEX,119,
cfd_mx.res_country_state_cp_51981,51981,MEX,,
cfd_mx.res_country_state_cp_51982,51982,MEX,,
cfd_mx.res_country_state_cp_51983,51983,MEX,,
cfd_mx.res_country_state_cp_51984119,51984,MEX,119,
cfd_mx.res_country_state_cp_51985119,51985,MEX,119,
cfd_mx.res_country_state_cp_51986119,51986,MEX,119,
cfd_mx.res_country_state_cp_51987119,51987,MEX,119,
cfd_mx.res_country_state_cp_51988119,51988,MEX,119,
cfd_mx.res_country_state_cp_51989119,51989,MEX,119,
cfd_mx.res_country_state_cp_51990119,51990,MEX,119,
cfd_mx.res_country_state_cp_51991,51991,MEX,,
cfd_mx.res_country_state_cp_51992,51992,MEX,,
cfd_mx.res_country_state_cp_51993,51993,MEX,,
cfd_mx.res_country_state_cp_51994119,51994,MEX,119,
cfd_mx.res_country_state_cp_51995119,51995,MEX,119,
cfd_mx.res_country_state_cp_51996119,51996,MEX,119,
cfd_mx.res_country_state_cp_51997119,51997,MEX,119,
cfd_mx.res_country_state_cp_51998,51998,MEX,,
cfd_mx.res_country_state_cp_51999,51999,MEX,,
cfd_mx.res_country_state_cp_52000051,52000,MEX,051,
cfd_mx.res_country_state_cp_52001,52001,MEX,,
cfd_mx.res_country_state_cp_52002,52002,MEX,,
